scheme,slug,label,broader,definition,central_question,indicative_period,target_count,catalogue_fields,related_terms
visual_system_concept,shrines-ritual-signs,Shrines and ritual signs,land-cosmology-authority,,,,,,
visual_system_concept,architecture-wall-painting-body-graphics,"Architecture, wall painting and body graphics",land-cosmology-authority,,,,,building_or_site|maker_tradition|geometric_system|community,
visual_system,memory-proverb-performance,"Memory, proverb and performance",visual-communication-ghana,"Visual communication activated through oral explanation, procession and public occasion.",,,,,
visual_system_concept,asafo-flags,Fante Asafo flags (frankaa),memory-proverb-performance,"Performed objects combining image, proverb, satire, military identity, company rivalry and colonial encounter.",,,300,company_and_town|flag_name|maker|commissioner|proverb|verbal_interpretation|visual_motifs|colonial_or_ghanaian_canton|performance_use|date_or_estimated_date|repair_history|original_ownership|acquisition_history|current_custodial_status|community_restrictions|made_for_asafo_use_or_art_market,
visual_system_concept,oral-interpretation,Oral interpretation,memory-proverb-performance,,,,,,
visual_system_concept,processions-festivals,Processions and festivals,memory-proverb-performance,,,,,,
visual_system_concept,drum-musical-communication,Drum and musical communication,memory-proverb-performance,,,,,,
visual_system_concept,funerary-graphics,Funerary graphics,memory-proverb-performance,,,,200,poster|banner|programme|cloth|digital_announcement|kinship|status|religion,
visual_system,cloth-pattern-social-identity,"Cloth, pattern and social identity",visual-communication-ghana,Woven and stamped cloth as visual communication — not a single national style.,,,200,,
visual_system_concept,asante-kente,Asante kente,cloth-pattern-social-identity,,,,,cloth_name|weaving_centre|weaver|warp_weft_structure|strip_organisation|colour_meanings|patron_and_occasion|gendered_wearing_system|proverb_or_event|national_commercial_reuse,
visual_system_concept,ewe-kente,Ewe kente,cloth-pattern-social-identity,,,,,cloth_name|weaving_centre|weaver|ethnic_linguistic_context|structure|patron_and_occasion,
visual_system_concept,adinkra-cloth,Adinkra cloth,cloth-pattern-social-identity,,,,,,
visual_system_concept,smocks-woven-systems,Smocks and woven systems,cloth-pattern-social-identity,,,,,,
visual_system_concept,commemorative-political-cloth,Commemorative and political cloth,cloth-pattern-social-identity,,,,,,
visual_system,print-colonial-public-culture,"Print, colonial rule and public culture",visual-communication-ghana,"Collision, appropriation and translation — never a story of European printing in a visual vacuum.",,,,,
visual_system_concept,mission-printing,Mission printing,print-colonial-public-culture,,,,,,
visual_system_concept,newspapers-editorial-cartoons,Newspapers and editorial cartoons,print-colonial-public-culture,,,,300,masthead|front_page|editorial_cartoon|advertisement|typeface|printer_mark|ownership|language|printing_press|circulation_route|censorship_history|political_affiliation,
visual_system_concept,colonial-maps-photography,Colonial maps and photography,print-colonial-public-culture,,,,,photographer|publisher|colonial_caption|location|people_depicted|posed_or_documentary|circulation|intended_audience|later_reuse|corrective_community_description,
visual_system_concept,stamps-currency-gov-documents,"Stamps, currency and government documents",print-colonial-public-culture,,,,,,
visual_system_concept,packaging-advertising,Packaging and advertising,print-colonial-public-culture,,,,,,
visual_system,independence-state-visual-identity,Independence and state visual identity,visual-communication-ghana,"Core ARED collection — national formation through flags, emblems, currency and public monuments.",,,250,,
visual_system_concept,theodosia-okoh,Theodosia Salome Okoh,independence-state-visual-identity,"Designer of Ghana's national flag, first raised 6 March 1957.",,,,sketches|interviews|family_archives|official_specifications|later_changes,
visual_system_concept,amon-kotei,Nii Amon Kotei,independence-state-visual-identity,Designer of Ghana's coat of arms.,,,,preparatory_work|official_commissioning|heraldic_sources|indigenous_symbols|institutional_use|adaptation_over_time,
visual_system_concept,kofi-antubam,Kofi Antubam,independence-state-visual-identity,"Designer of state visual culture — furniture, symbolic forms, public art, national institution integration.",,,,presidential_seat|parliamentary_mace|state_architecture|murals_mosaics|public_commissions|educational_writing|achimota_networks,
visual_system_concept,cpp-pan-african-graphics,CPP and Pan-African graphics,independence-state-visual-identity,,,,,,
visual_system_concept,flags-emblems-currency-monuments,"Flags, emblems, currency and public monuments",independence-state-visual-identity,,,,,,
visual_system,popular-everyday-graphics,Popular and everyday graphics,visual-communication-ghana,"Sign painting, cinema posters, music covers and public lettering — rarely attributed but central to Ghanaian visual history.",,,,,
visual_system_concept,sign-painting,Sign painting and public lettering,popular-everyday-graphics,,,,300,sign_writer|workshop|location|trade_type|support_material|lettering_style,
visual_system_concept,cinema-posters,Hand-painted cinema posters,popular-everyday-graphics,,,,,artist|video_club|film|location|support|repainting|local_exhibition_history|export_collector_history|made_for_cinema_or_tourist_sale,
visual_system_concept,music-covers,Music covers and concert graphics,popular-everyday-graphics,,,,300,musician|designer|photographer|printer|record_label|distributor,
visual_system_concept,vehicle-canoe-lettering,Vehicle and canoe lettering,popular-everyday-graphics,,,,,,
visual_system_concept,church-mosque-funeral-graphics,"Church, mosque and funeral graphics",popular-everyday-graphics,,,,,,
visual_system_concept,market-packaging,Market packaging,popular-everyday-graphics,,,,,,
visual_system,digital-diasporic-contemporary,"Digital, diasporic and contemporary design",visual-communication-ghana,,,,250,,
visual_system_concept,branding-advertising,Branding and advertising,digital-diasporic-contemporary,,,,,,
visual_system_concept,social-media-flyers,Social media flyers,digital-diasporic-contemporary,,,,,,
visual_system_concept,motion-broadcast-graphics,Motion and broadcast graphics,digital-diasporic-contemporary,,,,,,
visual_system_concept,interface-design,Interface design,digital-diasporic-contemporary,,,,,,
visual_system_concept,memes-political-graphics,Memes and political graphics,digital-diasporic-contemporary,,,,,,
visual_system_concept,ghanaian-diasporic-design,Ghanaian diasporic design,digital-diasporic-contemporary,,,,,,
regional_strand,akan-central,Akan / Central,ghana-regions,Major corpus but must not dominate the national map.,,,,Adinkra|goldweights|Asante kente|stools and regalia|state visual systems,
regional_strand,northern-ghana,Northern Ghana,ghana-regions,,,,,Sirigu and women's wall-painting traditions|compound decoration|geometric mural systems|painted pottery|leatherwork|calabash incision|woven smocks and pattern systems|mosque decoration|Qur'anic manuscripts and Arabic calligraphy|talismanic and amuletic graphic forms|market and transport graphics,
regional_strand,ewe,Ewe visual systems,ghana-regions,,,,,Ewe kente|shrine and religious imagery|stools and regalia|funeral and festival graphics|music and performance communication|borderland circulation between Ghana and Togo,
regional_strand,ga-dangme,Ga-Dangme visual systems,ghana-regions,,,,,Homowo festival graphics|Ga stools and royal emblems|fishing-boat inscriptions|coastal shrine imagery|fantasy coffins|urban Accra signage|political and commercial wall painting,
regional_strand,nzema-ahanta-western-coast,"Nzema, Ahanta and Western coastal traditions",ghana-regions,,,,,Kundum festival visual culture|royal and community regalia|fishing canoe graphics|sign painting|music posters|mining and labour graphics|cross-border visual exchange with Côte d'Ivoire,
regional_strand,guan,Guan visual traditions,ghana-regions,,,,,regional visual systems|festival graphics|craft and ritual objects,
regional_strand,gonja,Gonja visual traditions,ghana-regions,,,,,regional visual systems|Islamic graphic forms|market graphics,
regional_strand,dagomba,Dagomba visual traditions,ghana-regions,,,,,regional visual systems|regalia|festival and performance graphics,
regional_strand,mamprusi,Mamprusi visual traditions,ghana-regions,,,,,regional visual systems|architecture and wall painting|regalia,
regional_strand,dagaaba,Dagaaba visual traditions,ghana-regions,,,,,regional visual systems|craft and ritual objects,
regional_strand,kassena,Kassena visual traditions,ghana-regions,,,,,Sirigu-related traditions|compound decoration|pottery,
regional_strand,talensi,Talensi visual traditions,ghana-regions,,,,,regional visual systems|ritual and shrine imagery,
regional_strand,multi-regional,Multi-regional / national,ghana-regions,,,,,state symbols|national newspapers|pan-Ghanaian campaigns,
regional_strand,diaspora,Ghanaian diaspora,ghana-regions,,,,,diasporic design networks|transnational visual exchange,
object_type,adinkra-cloth,Adinkra cloth,,,,,,,
object_type,adinkra-stamp,Adinkra stamp,,,,,,,
object_type,adinkra-symbol-record,Adinkra symbol record,,,,,,,
object_type,architecture-mural,Architecture / mural,,,,,,,
object_type,asafo-flag,Asafo flag,,,,,,,
object_type,banknote-currency,Banknote / currency,,,,,,,
object_type,body-adornment,Body adornment,,,,,,,
object_type,book-publication,Book / publication,,,,,,,
object_type,calabash-engraving,Calabash engraving,,,,,,,
object_type,cinema-poster,Cinema poster,,,,,,,
object_type,coat-of-arms-heraldic-design,Coat of arms / heraldic design,,,,,,,
object_type,commemorative-cloth,Commemorative cloth,,,,,,,
object_type,concert-poster-flyer,Concert poster / flyer,,,,,,,
object_type,editorial-cartoon,Editorial cartoon,,,,,,,
object_type,flag-emblem,Flag / emblem,,,,,,,
object_type,funeral-graphic,Funeral graphic,,,,,,,
object_type,goldweight,Goldweight,,,,,,,
object_type,institutional-logo-identity,Institutional logo / identity,,,,,,,
object_type,kente-cloth,Kente cloth,,,,,,,
object_type,lettering-inscription,Lettering / inscription,,,,,,,
object_type,manuscript-calligraphy,Manuscript / calligraphy,,,,,,,
object_type,map,Map,,,,,,,
object_type,music-album-cover,Music album cover,,,,,,,
object_type,newspaper-periodical,Newspaper / periodical,,,,,,,
object_type,oral-history-record,Oral history record,,,,,,,
object_type,packaging-label,Packaging / label,,,,,,,
object_type,person-authority-record,Person authority record,,,,,,,
object_type,photograph-postcard,Photograph / postcard,,,,,,,
object_type,political-poster,Political poster,,,,,,,
object_type,pottery-mark-painted-pottery,Pottery mark / painted pottery,,,,,,,
object_type,record-sleeve,Record sleeve,,,,,,,
object_type,regalia-ritual-object,Regalia / ritual object,,,,,,,
object_type,religious-banner-poster,Religious banner / poster,,,,,,,
object_type,sign-painting,Sign painting,,,,,,,
object_type,smock-woven-textile,Smock / woven textile,,,,,,,
object_type,stamp-postal-design,Stamp / postal design,,,,,,,
object_type,studio-workshop-record,Studio / workshop record,,,,,,,
object_type,textile-pattern-system,Textile pattern system,,,,,,,
object_type,transport-graphics,Transport graphics,,,,,,,
object_type,digital-graphic-social-media,Digital graphic / social media,,,,,,,
object_type,website-interface,Website / interface,,,,,,,
object_type,other-needs-classification,Other / needs classification,,,,,,,
source_institution,ghana-museums-monuments,Ghana Museums and Monuments Board,,National collections and object records,,,,Digital access may be limited,
source_institution,national-archives-ghana,National Archives of Ghana,,"Government print, maps, photographs, colonial records",,,,Permissions and incomplete digitisation,
source_institution,praad,Public Records and Archives Administration Department,,State documents and institutional histories,,,,Catalogue access may require local research,
source_institution,ghana-library-authority,Ghana Library Authority,,"Newspapers, books, periodicals",,,,Condition and scanning rights,
source_institution,graphic-communications-group,Graphic Communications Group,,Daily Graphic and associated titles,,,,Corporate permissions,
source_institution,ghana-post,Ghana Post,,Stamps and postal design,,,,Designer attribution may be incomplete,
source_institution,bank-of-ghana,Bank of Ghana,,Currency and banknote design,,,,Restricted reproduction conditions,
source_institution,knust,KNUST and university repositories,,"Theses, curricula, staff histories, student work",,,,Copyright remains with authors,
source_institution,asafo-companies,Asafo companies and traditional councils,,"Flag meanings, makers, ownership and performance",,,,Community authority must govern access,
source_institution,local-artists-workshops,Local artists and workshops,,"Oral histories, sketches and attribution",,,,Consent and compensation,
source_institution,fowler-rom,Fowler Museum and Royal Ontario Museum,,Major Asafo collections and scholarship,,,,Colonial acquisition and overseas custody,
source_institution,british-museum,British Museum,,"Goldweights, Adinkra, textiles and metadata",,,,Colonial collecting histories must remain visible,
source_institution,metropolitan-museum,Metropolitan Museum of Art,,"Adinkra cloths, stamps, historic Akan heraldic imagery",,,,Colonial collecting histories must remain visible,
source_institution,studio-museum-harlem,Studio Museum in Harlem,,Named makers such as Kobina Badowah,,,,Reproduction rights,
source_institution,family-archives,Family archives,,"Designers, printers, photographers, musicians",,,,Fragile and uncatalogued materials,
source_institution,markets-churches-printers,"Markets, churches, printers and sign shops",,Everyday living design,,,,Rapid disappearance and weak documentation,
collection_target,asafo-flags,Asafo flags and related records,memory-proverb-performance,,,,300,,
collection_target,adinkra-system,"Adinkra cloths, stamps and symbol records",land-cosmology-authority,,,,300,,
collection_target,goldweights,Goldweights and proverbial objects,land-cosmology-authority,,,,300,,
collection_target,cloth-pattern-social-identity,Kente and woven visual systems,cloth-pattern-social-identity,,,,200,,
collection_target,newspapers-editorial-cartoons,"Colonial newspapers, maps and print",print-colonial-public-culture,,,,300,,
collection_target,independence-state-visual-identity,Independence and state graphics,independence-state-visual-identity,,,,250,,
collection_target,music-covers,"Music, cinema and popular graphics",popular-everyday-graphics,,,,300,,
collection_target,sign-painting,Sign painting and public lettering,popular-everyday-graphics,,,,300,,
collection_target,funerary-graphics,Religious and funeral graphics,memory-proverb-performance,,,,200,,
collection_target,digital-diasporic-contemporary,Digital and contemporary design,digital-diasporic-contemporary,,,,250,,
collection_target,oral-interpretation,Oral histories and maker profiles,memory-proverb-performance,,,,150,,
