record_id,status,publication_state,title,record_type,period_id,period_label,date_start,date_end,visual_system_id,visual_system_label,region,locality,community_or_culture,creator_or_authority,creator_role,institution_or_collection,object_or_record_type,medium_or_format,language,description,historical_significance,source_name,source_url,secondary_source_url,source_type,rights_status,rights_note,verification_level,verification_notes,research_priority,research_question,provenance_or_custody_note,community_authority_required,linked_record_ids,tags,build_id
ARED-GH-00011,published,source-backed seed record,Mankesim Asafo company flag,museum object,P3,"Colonial print and institutional design, 1874–1945",19th–20th century,,V2,"Memory, proverb and performance",Central Region,Mankesim,Fante,Unidentified Fante artist / Asafo company,maker and commissioner,Smithsonian National Museum of African Art,Asafo flag,commercial cloth; appliqué,,"Flag recorded as belonging to an Asafo company in Mankesim, capital of Fanteland.",Provides a location-specific museum record that can be linked back to company histories in Ghana.,Smithsonian Institution,https://www.si.edu/object/asafo-flag%3Anmafa_88-10-1,,museum object record,linked_record,Link to source; request image permission from Smithsonian.,high,,high,"Identify company number, proverb, maker, date, acquisition route and current community interpretation.",Overseas museum custody; full provenance review required.,Yes,,Asafo; Mankesim; Smithsonian; flag,2026-07-05-taxonomy-v1
ARED-GH-00012,published,source-backed seed record,Asafo company flag with three-headed creature,museum object,P3,"Colonial print and institutional design, 1874–1945",before 1957,,V2,"Memory, proverb and performance",Central Region,Fante coastal Ghana,Fante,Unidentified Fante artist,flag maker,Brooklyn Museum,Asafo company flag,cloth; appliqué,,Pre-independence flag with Union Jack canton and a warning image of a three-headed creature over a defeated figure.,"Shows visual borrowing, warning, rivalry and proverbial communication under colonial rule.",Brooklyn Museum,https://www.brooklynmuseum.org/objects/188917,,museum object record,linked_record,Image permission subject to Brooklyn Museum terms.,high,,high,"Identify company, proverb, locality, maker and acquisition history.",Museum record should be paired with Fante interpretation.,Yes,,Asafo; colonial; Union Jack; proverb,2026-07-05-taxonomy-v1
ARED-GH-00013,published,source-backed seed record,Asafo flag depicting Elmina forts,museum object,P3,"Colonial print and institutional design, 1874–1945",late 19th–20th century,,V2,"Memory, proverb and performance",Central Region,Elmina,Fante,Fante textile artist,flag maker,High Museum of Art,Asafo flag,cloth; appliqué; embroidery,,"Flag depicting the Elmina forts and a telegraph connection, with a British Union Jack canton.","Links local visual narration to colonial forts, communications infrastructure and public memory.",High Museum of Art,https://high.org/collection/asafo-flag-2/,,museum object record,linked_record,Image permission subject to museum terms.,high,,high,"Recover the flag's company, maker, proverb and interpretation in Elmina.",,Yes,,Asafo; Elmina; forts; telegraph; colonialism,2026-07-05-taxonomy-v1
ARED-GH-00014,published,source-backed seed record,"Art, Honor, and Ridicule: Fante Asafo Flags from Southern Ghana",publication,P6,"Democratic, digital and diasporic design, 1992–present",2017,2017,V2,"Memory, proverb and performance",Central Region; international collections,,,Doran H. Ross and Silvia Forni,authors; field researchers; curators,Fowler Museum and Royal Ontario Museum,scholarly catalogue,book; field interviews; collection research,,"Major publication linking museum-held flags to named artists, workshops, communities and orally transmitted interpretations.",Essential authority source for an Asafo catalogue that restores maker and community context.,Fowler Museum at UCLA,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,,scholarly museum publication,citation_only,Copyrighted book; use metadata and short quotations only.,high,,high,"Index every maker, workshop, company, locality, proverb and museum object cited in the volume.",,Yes for reuse of community knowledge,,Asafo; bibliography; fieldwork; catalogue,2026-07-05-taxonomy-v1
ARED-GH-00015,published,source-backed seed record,Artist Alliance Gallery Asafo flag collection,collection,P5,"Post-independence public and popular graphics, 1966–1992",20th century,present,V2,"Memory, proverb and performance",Greater Accra; Central Region,Accra,Fante; Ghanaian,Ablade Glover / Artist Alliance Gallery,collector; gallery founder,Artist Alliance Gallery,private and gallery collection,Asafo flags,,Large Ghana-based collection of Asafo flags assembled and displayed at Artist Alliance Gallery.,"A major in-country source for object study, attribution and provenance research.",Maharam Stories,https://www.maharam.com/stories/banks_asafo-flags,,design publication; collection profile,permission_required,Direct institutional agreement needed before cataloguing or reproducing objects.,medium,Collection scale is reported; an inventory must be obtained directly.,high,"Negotiate access, inventory holdings, photograph objects and identify community custodians.",,Gallery and source communities,,Asafo; collection; Accra; Ablade Glover,2026-07-05-taxonomy-v1
ARED-GH-00016,published,source-backed seed record,Fowler Museum Asafo flag collection,collection,P5,"Post-independence public and popular graphics, 1966–1992",19th century,present,V2,"Memory, proverb and performance",Southern Ghana; United States,,,Fante makers; Doran H. Ross and collaborators,makers; collector-researchers,Fowler Museum at UCLA,museum collection,flags; banners; documentation,,A substantial collection documented through decades of field research and linked to makers and workshops.,One of the key international corpora for systematic Asafo object research.,Fowler Museum at UCLA,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,,museum publication,linked_record,Use museum metadata and negotiate image/data access.,high,,high,"Obtain object-level dataset, provenance, image rights and linked interview documentation.",Overseas custody must be documented alongside original community ownership.,Yes,,Asafo; museum collection; UCLA,2026-07-05-taxonomy-v1
ARED-GH-00017,published,source-backed seed record,Horniman bicentenary Asafo flags by Baba Issaka,museum collection group,P6,"Democratic, digital and diasporic design, 1992–present",2007,2007,V2,"Memory, proverb and performance",Central Region; United Kingdom,,Fante,Baba Issaka,flag maker,Horniman Museum and Gardens,commissioned flag group,appliqué flags,,Flags commissioned to mark the bicentenary of the abolition of the British transatlantic slave trade and fifty years of Ghanaian independence.,"Shows contemporary Asafo practice addressing colonial history, survival and memory.",Horniman Museum and Gardens,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,,museum collection story,linked_record,Museum and maker permission required for images.,high,,high,Create item-level records with maker commentary and commission context.,,Maker and Fante authorities,,Asafo; Baba Issaka; abolition; independence,2026-07-05-taxonomy-v1
ARED-GH-00018,published,source-backed seed record,Asafo Flags from Ghana exhibition,exhibition,P6,"Democratic, digital and diasporic design, 1992–present",2016,2016,V2,"Memory, proverb and performance",Ghana; United States,,,,,Mingei International Museum,museum exhibition,36 Asafo flags,,Exhibition of thirty-six late nineteenth- and twentieth-century Asafo flags.,A defined corpus that can be converted into object-level research leads.,Mingei International Museum,https://mingei.org/exhibitions/asafo-flags-from-ghana,,museum exhibition record,linked_record,Request checklist and image permissions from museum.,high,,high,"Acquire exhibition checklist, donor records, provenance and object photography.",,Yes,,Asafo; exhibition; museum,2026-07-05-taxonomy-v1
ARED-GH-00019,published,source-backed seed record,Adinkra prestige cloth,museum object,P3,"Colonial print and institutional design, 1874–1945",19th–20th century,,V3,"Cloth, pattern and social identity",Ashanti Region,Kumasi area,Asante,Unidentified Asante textile artists,cloth makers; stamp carvers; printers,The Metropolitan Museum of Art,Adinkra prestige cloth,factory-woven cloth; dye; stamped patterns; embroidery,,Large prestige cloth organised through a stamped grid of repeated motifs.,"Demonstrates Adinkra as a designed system of symbols, stamping, repetition, spacing and social use.",The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/687569,,museum object record,linked_record,Check Met Open Access status at item level.,high,,high,"Identify motif names, maker locality, use, provenance and relationships to living Adinkra workshops.",Museum acquisition history must be retained.,Consult makers and cultural authorities,,Adinkra; cloth; Asante; pattern,2026-07-05-taxonomy-v1
ARED-GH-00020,published,source-backed seed record,Kola nut dyed and stamped pattern cloth (Adinkira),museum object,P5,"Post-independence public and popular graphics, 1966–1992",mid-20th century,,V3,"Cloth, pattern and social identity",Ghana,,Ghanaian,Unidentified maker,textile artist,The Metropolitan Museum of Art,Adinkra cloth,cotton; kola-nut dye; stamped pattern,,Mid-twentieth-century Ghanaian stamped cloth in the Met collection.,Provides a dated object for tracing the modern continuation and collection of Adinkra.,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/711933,,museum object record,linked_record,Check item-level image licence.,high,,high,"Identify maker, place, pattern names and collection history.",,Consult living workshops,,Adinkra; textile; dye; stamp,2026-07-05-taxonomy-v1
ARED-GH-00021,published,source-backed seed record,Geometric Akan gold weight,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",18th century,19th century,V1,"Land, cosmology and authority",Ghana; Côte d’Ivoire,,Akan,Akan artist,metal caster,The Metropolitan Museum of Art,gold weight,brass,,Geometric brass weight used in systems for measuring gold.,"Links graphic geometry, measurement, trade and Akan knowledge systems.",The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/317674,,museum object record,linked_record,Check item-level Open Access status.,high,,high,"Connect geometric form to weight value, terminology, casting practice and local interpretation.",Collection and acquisition history should be retained.,Consult Akan specialists,,goldweight; geometry; trade; Akan,2026-07-05-taxonomy-v1
ARED-GH-00022,published,source-backed seed record,Sankofa bird gold weight,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",1700,1900,V1,"Land, cosmology and authority",Ghana,,Akan,Unidentified Akan artist,metal caster,British Museum,figurative gold weight,brass,,Figurative weight representing the Sankofa bird motif.,"Connects measurement, proverb, memory and visual form.",British Museum,https://www.britishmuseum.org/collection/object/E_Af1947-13-138,,museum object record,linked_record,Use museum link and check image terms.,high,,high,"Document weight value, proverb variants, production locality and acquisition history.",,Consult Akan language and cultural authorities,,Sankofa; goldweight; proverb; brass,2026-07-05-taxonomy-v1
ARED-GH-00023,published,source-backed seed record,Asante silk kente man's wrap,museum object,P5,"Post-independence public and popular graphics, 1966–1992",20th century,,V3,"Cloth, pattern and social identity",Ashanti Region,,Asante,Unidentified Asante weaver,weaver,British Museum,kente cloth / man's wrap,silk; narrow-strip weaving,,Silk wrap made from twenty-four narrow strips with coloured bands and supplementary weft patterns.,Demonstrates the modular strip structure and graphic organisation of Asante kente.,British Museum,https://www.britishmuseum.org/collection/object/E_Af2004-04-1,,museum object record,linked_record,Check image terms.,high,,high,"Identify cloth name, weaving centre, weaver, commissioner, occasion and provenance.",,Consult weaving communities,,kente; Asante; weaving; pattern,2026-07-05-taxonomy-v1
ARED-GH-00024,published,source-backed seed record,Ewe kente cloth from Keta area,museum object,P5,"Post-independence public and popular graphics, 1966–1992",1955,1960,V3,"Cloth, pattern and social identity",Volta Region,Keta area,Ewe,Unidentified Ewe weaver,weaver,British Museum,narrow-strip woven cloth,woven textile,,Cloth recorded as made by an Ewe weaver in the Keta area and acquired between 1955 and 1960.,Supports separation of Ewe and Asante weaving histories within the catalogue.,British Museum,https://www.britishmuseum.org/collection/object/E_Af1982-33-1,,museum object record,linked_record,Check image terms.,high,,high,"Recover cloth name, exact community, weaver, use and acquisition circumstances.",,Consult Ewe weaving communities,,kente; Ewe; Keta; narrow-strip weaving,2026-07-05-taxonomy-v1
ARED-GH-00025,published,source-backed seed record,Ewe kente cloth converted into gown,museum object,P5,"Post-independence public and popular graphics, 1966–1992",20th century,,V3,"Cloth, pattern and social identity",Volta Region / Ghana,,Ewe,Unidentified Ewe weaver and garment maker,weaver; tailor,British Museum,gown made from kente,narrow-strip textile; garment construction,,A gown formed from an Ewe kente cloth that was originally woven for another use.,"Shows reuse, translation and movement between cloth systems and garment forms.",British Museum,https://www.britishmuseum.org/collection/object/E_Af1966-01-12,,museum object record,linked_record,Check image terms.,high,,high,"Trace maker, conversion history, wearer and acquisition context.",,Consult Ewe textile specialists,,Ewe; kente; garment; adaptation,2026-07-05-taxonomy-v1
ARED-GH-00026,published,source-backed seed record,National Museum of Ghana institutional record,institution,P4,"Anticolonial and independence visual culture, 1945–1966",1957,present,V1,"Land, cosmology and authority",Greater Accra,Accra,National,Ghana Museums and Monuments Board,custodian; museum authority,National Museum of Ghana,museum and archive,archaeology; ethnography; fine art; documentation,,National museum opened during Ghana's independence celebrations and holding major collections relevant to visual culture.,"A central Ghana-based institution for object research, restitution histories and national display.",Ghana Museums and Monuments Board,https://www.ghanamuseums.org/,https://en.wikipedia.org/wiki/National_Museum_of_Ghana,official institutional website; secondary institutional history,permission_required,Formal research and reproduction agreement required.,high,Official website provides institutional entry point; object-level catalogue access must be negotiated.,high,"Negotiate collection data access and identify relevant holdings, acquisition histories and image rights.",,Institution and source communities,,museum; national collection; Accra; restitution,2026-07-05-taxonomy-v1
ARED-GH-00027,published,source-backed seed record,KNUST Department of Communication Design,institution,P5,"Post-independence public and popular graphics, 1966–1992",20th century,present,V7,"Digital, diasporic and contemporary design",Ashanti Region,Kumasi,Ghanaian design education,Kwame Nkrumah University of Science and Technology,education and research institution,"Department of Communication Design, KNUST",department; curriculum archive; student work,teaching records; theses; posters; publications; digital work,,"Department training professionals in visual communication, graphic arts and multimedia.",A primary institutional spine for the history of professional graphic and communication design in Ghana.,KNUST Department of Communication Design,https://decode.knust.edu.gh/,https://cabe.knust.edu.gh/about-us,official university website,permission_required,Institutional permission and student consent required for archival materials.,high,,high,"Build a chronology of programmes, staff, curricula, workshops, technologies, exhibitions and alumni.",,Institutional and author consent,,KNUST; education; communication design; archive,2026-07-05-taxonomy-v1
ARED-GH-00028,published,source-backed seed record,KNUST Department of Publishing Studies,institution,P5,"Post-independence public and popular graphics, 1966–1992",20th century,present,V4,"Print, colonial rule and public culture",Ashanti Region,Kumasi,Ghanaian publishing education,KNUST,education and research institution,Department of Publishing Studies,department; publishing archive,books; print production; theses; curricula,,University department supporting publishing education and research.,"Essential for mapping print production, book design, publishing labour and technological change.",KNUST College of Art and Built Environment,https://cabe.knust.edu.gh/about-us,https://cabe.knust.edu.gh/postgraduate-programmes,official university website,permission_required,Institutional access required.,high,,high,"Collect curriculum histories, publications, staff archives, student books and printer networks.",,Institutional and author consent,,publishing; KNUST; print; education,2026-07-05-taxonomy-v1
ARED-GH-00029,published,source-backed seed record,Kumasi Technical University Department of Graphic Design,institution,P6,"Democratic, digital and diasporic design, 1992–present",20th century,present,V7,"Digital, diasporic and contemporary design",Ashanti Region,Kumasi,Ghanaian design education,Kumasi Technical University,education institution,Department of Graphic Design,department; curriculum archive,student work; curricula; technical training,,Technical-university programme in communication and graphic design.,Broadens the archive beyond KNUST and captures vocational and technical design education.,Kumasi Technical University,https://kstu.edu.gh/academics/programmes/bachelor-arts-communication-design,,official university website,permission_required,Institutional permission required.,high,,high,"Trace departmental history, predecessor programmes, staff, print workshops and alumni.",,Institutional consent,,graphic design; technical education; Kumasi,2026-07-05-taxonomy-v1
ARED-GH-00030,published,source-backed seed record,The place of graphic design in national development,research publication,P5,"Post-independence public and popular graphics, 1966–1992",20th century,,V7,"Digital, diasporic and contemporary design",Ghana,Kumasi,,KNUST repository author record,researcher,KNUST Institutional Repository,thesis or research report,digital document,,Research record arguing for graphic design as a tool of communication and national development.,Evidence of Ghanaian scholarly discourse on the social role of graphic design.,KNUST Institutional Repository,https://ir.knust.edu.gh/handle/123456789/3433,,institutional repository,citation_only,Check repository licence before downloading or reproducing.,medium,Repository metadata is available; full bibliographic details require document review.,high,"Extract full author, year, abstract, departmental context and cited Ghanaian practitioners.",,Author rights,,graphic design; national development; Ghanaian scholarship,2026-07-05-taxonomy-v1
ARED-GH-00031,published,source-backed seed record,Packaging design and production research corpus at KNUST,research collection,P6,"Democratic, digital and diasporic design, 1992–present",1990,present,V6,Popular and everyday graphics,Ghana,Kumasi,,KNUST researchers,researchers and design educators,KNUST Institutional Repository,theses and research reports,PDF; research data,,"Research corpus on packaging design, production chains and local product communication.",Maps a major commercial graphic field often absent from museum archives.,KNUST Institutional Repository,https://ir.knust.edu.gh/bitstreams/34f8772d-afed-48a1-ac82-2bdd5642c136/download,,institutional repository document,citation_only,Item-level rights review required.,high,,high,"Create an index of Ghanaian packaging theses, named firms, designers, products and production technologies.",,Authors and firms where applicable,,packaging; KNUST; commercial design; research,2026-07-05-taxonomy-v1
ARED-GH-00032,published,source-backed seed record,Graphic design studio assessment research at KNUST,research publication,P6,"Democratic, digital and diasporic design, 1992–present",2015,2015,V7,"Digital, diasporic and contemporary design",Ashanti Region,Kumasi,,Eric Francis Eshun,design educator and researcher,KNUST Institutional Repository,doctoral or research document,PDF,,Research on assessment strategies in graphic design studio education.,Documents the pedagogical history and institutional practices of Ghanaian communication design education.,KNUST Institutional Repository,https://ir.knust.edu.gh/bitstream/123456789/7203/1/DEVELOPING%20INNOVATIVE%20ASSESSMENT%20STRATEGY.pdf,,institutional repository document,citation_only,Copyright retained by author/institution.,high,,high,"Index historical curricula, staff references and examples of student work discussed in the research.",,Author and institution,,design education; assessment; KNUST,2026-07-05-taxonomy-v1
ARED-GH-00033,published,source-backed seed record,Department of Communication Design staff and alumni authority cluster,authority cluster,P6,"Democratic, digital and diasporic design, 1992–present",late 20th century,present,V7,"Digital, diasporic and contemporary design",Ashanti Region,Kumasi,,KNUST Department of Communication Design,design educators and practitioners,KNUST,people and institutional authority records,staff profiles; CVs; publications,,"Cluster including long-serving educators and researchers such as Daniel Ampofo Ohene-Adu, Edward Appiah, Eric Francis Eshun, Ralitsa Diana Debrah, Ginn Bonsu Assibey and others.",Provides a people-centred institutional history of Ghanaian communication design.,KNUST staff directory and department website,https://decode.knust.edu.gh/,https://webapps.knust.edu.gh/staff/dirsearch/profile/summary/c923328f2713.html,official university profiles,metadata_only,Use public professional metadata; seek consent for unpublished archives.,high,,high,"Create individual authority records, oral histories, course histories and alumni networks.",,Individual consent for oral history,,KNUST; educators; alumni; authority records,2026-07-05-taxonomy-v1
ARED-GH-00034,published,source-backed seed record,Gold Coast and Ghana newspaper visual culture research field,research field,P3,"Colonial print and institutional design, 1874–1945",19th century,present,V4,"Print, colonial rule and public culture",National,,Ghanaian press,Editors; printers; illustrators; photographers; cartoonists,media and print workers,Ghanaian newspaper archives; University of Ghana collections,newspapers and periodicals,print; mastheads; layouts; cartoons; advertisements,,"Long-duration field covering colonial and postcolonial newspapers as sites of typography, illustration and political communication.",Moves newspaper design from background source to a central graphic-design archive.,University of Ghana repository,https://ugspace.ug.edu.gh/server/api/core/bitstreams/59700028-9331-48ac-ac16-dd4633c26f0d/content,,institutional repository research,research_required,Rights vary by newspaper and issue.,medium,Source establishes press history; issue-level catalogue work remains.,high,"Inventory titles, dates, printers, mastheads, cartoonists, typefaces, advertisements and censorship histories.",,Publishers and archives,,newspapers; print; typography; cartoons,2026-07-05-taxonomy-v1
ARED-GH-00035,published,source-backed seed record,Daily Graphic visual archive,publication archive,P5,"Post-independence public and popular graphics, 1966–1992",1950,present,V4,"Print, colonial rule and public culture",National,Accra,,Graphic Communications Group,publisher,Graphic Communications Group,newspaper archive,newspaper; photography; illustration; advertising,,National newspaper founded in 1950 with a long visual record spanning late colonial and postcolonial Ghana.,"A core source for national typography, editorial design, advertising, photography and political graphics.",University of Ghana research on Graphic Communications Group,https://ugspace.ug.edu.gh/bitstreams/360d9dae-7463-414b-80b5-dc4d38cdc5a9/download,,institutional repository research,permission_required,Corporate archive and reproduction agreement required.,high,,high,"Negotiate issue-level digitisation and identify art directors, layout staff, cartoonists and photographers.",,Publisher permission,,Daily Graphic; newspaper; Accra; editorial design,2026-07-05-taxonomy-v1
