record_id,title,exclusion_reason,detail,publication_state,record_type
ARED-GH-00046,Sirigu women’s wall-painting visual system,templated_wording,"contains ""ared ghana-based research priority""",source-backed seed record,living visual system
ARED-GH-00047,Ga fantasy coffin design field,templated_wording,"contains ""ared ghana-based research priority""",source-backed seed record,living visual system
ARED-GH-00048,Ghanaian digital flyer and social-media design field,templated_wording,"contains ""ared digital preservation programme""",source-backed seed record,living visual system
ARED-GH-00049,Ghanaian design education institutional genealogy,templated_wording,"contains ""research framework""",source-backed seed record,research framework
ARED-GH-00050,ARED History of Graphic Design in Ghana master collection,record_type,"record_type ""collection"" is a planning row",source-backed seed record,collection
ARED-GH-00051,"Greater Accra: Land, cosmology and authority — object or artefact record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00052,"Greater Accra: Land, cosmology and authority — object or artefact record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00053,"Greater Accra: Land, cosmology and authority — object or artefact record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00054,"Greater Accra: Land, cosmology and authority — object or artefact record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00055,"Greater Accra: Land, cosmology and authority — object or artefact record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00056,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00057,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00058,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00059,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00060,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00061,"Greater Accra: Land, cosmology and authority — institution or collection record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00062,"Greater Accra: Land, cosmology and authority — institution or collection record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00063,"Greater Accra: Land, cosmology and authority — institution or collection record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00064,"Greater Accra: Land, cosmology and authority — institution or collection record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00065,"Greater Accra: Land, cosmology and authority — institution or collection record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00066,"Greater Accra: Land, cosmology and authority — oral-history interview research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00067,"Greater Accra: Land, cosmology and authority — oral-history interview research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00068,"Greater Accra: Land, cosmology and authority — oral-history interview research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00069,"Greater Accra: Land, cosmology and authority — oral-history interview research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00070,"Greater Accra: Land, cosmology and authority — oral-history interview research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00071,"Greater Accra: Land, cosmology and authority — publication or archival source research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00072,"Greater Accra: Land, cosmology and authority — publication or archival source research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00073,"Greater Accra: Land, cosmology and authority — publication or archival source research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00074,"Greater Accra: Land, cosmology and authority — publication or archival source research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00075,"Greater Accra: Land, cosmology and authority — publication or archival source research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00076,"Greater Accra: Memory, proverb and performance — object or artefact record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00077,"Greater Accra: Memory, proverb and performance — object or artefact record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00078,"Greater Accra: Memory, proverb and performance — object or artefact record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00079,"Greater Accra: Memory, proverb and performance — object or artefact record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00080,"Greater Accra: Memory, proverb and performance — object or artefact record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00081,"Greater Accra: Memory, proverb and performance — maker or workshop authority record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00082,"Greater Accra: Memory, proverb and performance — maker or workshop authority record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00083,"Greater Accra: Memory, proverb and performance — maker or workshop authority record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00084,"Greater Accra: Memory, proverb and performance — maker or workshop authority record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00085,"Greater Accra: Memory, proverb and performance — maker or workshop authority record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00086,"Greater Accra: Memory, proverb and performance — institution or collection record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00087,"Greater Accra: Memory, proverb and performance — institution or collection record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00088,"Greater Accra: Memory, proverb and performance — institution or collection record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00089,"Greater Accra: Memory, proverb and performance — institution or collection record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00090,"Greater Accra: Memory, proverb and performance — institution or collection record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00091,"Greater Accra: Memory, proverb and performance — oral-history interview research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00092,"Greater Accra: Memory, proverb and performance — oral-history interview research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00093,"Greater Accra: Memory, proverb and performance — oral-history interview research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00094,"Greater Accra: Memory, proverb and performance — oral-history interview research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00095,"Greater Accra: Memory, proverb and performance — oral-history interview research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00096,"Greater Accra: Memory, proverb and performance — publication or archival source research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00097,"Greater Accra: Memory, proverb and performance — publication or archival source research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00098,"Greater Accra: Memory, proverb and performance — publication or archival source research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00099,"Greater Accra: Memory, proverb and performance — publication or archival source research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00100,"Greater Accra: Memory, proverb and performance — publication or archival source research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00101,"Greater Accra: Cloth, pattern and social identity — object or artefact record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00102,"Greater Accra: Cloth, pattern and social identity — object or artefact record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00103,"Greater Accra: Cloth, pattern and social identity — object or artefact record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00104,"Greater Accra: Cloth, pattern and social identity — object or artefact record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00105,"Greater Accra: Cloth, pattern and social identity — object or artefact record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00106,"Greater Accra: Cloth, pattern and social identity — maker or workshop authority record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00107,"Greater Accra: Cloth, pattern and social identity — maker or workshop authority record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00108,"Greater Accra: Cloth, pattern and social identity — maker or workshop authority record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00109,"Greater Accra: Cloth, pattern and social identity — maker or workshop authority record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00110,"Greater Accra: Cloth, pattern and social identity — maker or workshop authority record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00111,"Greater Accra: Cloth, pattern and social identity — institution or collection record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00112,"Greater Accra: Cloth, pattern and social identity — institution or collection record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00113,"Greater Accra: Cloth, pattern and social identity — institution or collection record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00114,"Greater Accra: Cloth, pattern and social identity — institution or collection record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00115,"Greater Accra: Cloth, pattern and social identity — institution or collection record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00116,"Greater Accra: Cloth, pattern and social identity — oral-history interview research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00117,"Greater Accra: Cloth, pattern and social identity — oral-history interview research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00118,"Greater Accra: Cloth, pattern and social identity — oral-history interview research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00119,"Greater Accra: Cloth, pattern and social identity — oral-history interview research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00120,"Greater Accra: Cloth, pattern and social identity — oral-history interview research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00121,"Greater Accra: Cloth, pattern and social identity — publication or archival source research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00122,"Greater Accra: Cloth, pattern and social identity — publication or archival source research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00123,"Greater Accra: Cloth, pattern and social identity — publication or archival source research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00124,"Greater Accra: Cloth, pattern and social identity — publication or archival source research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00125,"Greater Accra: Cloth, pattern and social identity — publication or archival source research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00126,"Greater Accra: Print, colonial rule and public culture — object or artefact record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00127,"Greater Accra: Print, colonial rule and public culture — object or artefact record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00128,"Greater Accra: Print, colonial rule and public culture — object or artefact record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00129,"Greater Accra: Print, colonial rule and public culture — object or artefact record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00130,"Greater Accra: Print, colonial rule and public culture — object or artefact record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00131,"Greater Accra: Print, colonial rule and public culture — maker or workshop authority record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00132,"Greater Accra: Print, colonial rule and public culture — maker or workshop authority record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00133,"Greater Accra: Print, colonial rule and public culture — maker or workshop authority record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00134,"Greater Accra: Print, colonial rule and public culture — maker or workshop authority record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00135,"Greater Accra: Print, colonial rule and public culture — maker or workshop authority record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00136,"Greater Accra: Print, colonial rule and public culture — institution or collection record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00137,"Greater Accra: Print, colonial rule and public culture — institution or collection record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00138,"Greater Accra: Print, colonial rule and public culture — institution or collection record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00139,"Greater Accra: Print, colonial rule and public culture — institution or collection record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00140,"Greater Accra: Print, colonial rule and public culture — institution or collection record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00141,"Greater Accra: Print, colonial rule and public culture — oral-history interview research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00142,"Greater Accra: Print, colonial rule and public culture — oral-history interview research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00143,"Greater Accra: Print, colonial rule and public culture — oral-history interview research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00144,"Greater Accra: Print, colonial rule and public culture — oral-history interview research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00145,"Greater Accra: Print, colonial rule and public culture — oral-history interview research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00146,"Greater Accra: Print, colonial rule and public culture — publication or archival source research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00147,"Greater Accra: Print, colonial rule and public culture — publication or archival source research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00148,"Greater Accra: Print, colonial rule and public culture — publication or archival source research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00149,"Greater Accra: Print, colonial rule and public culture — publication or archival source research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00150,"Greater Accra: Print, colonial rule and public culture — publication or archival source research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00151,Greater Accra: Independence and state visual identity — object or artefact record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00152,Greater Accra: Independence and state visual identity — object or artefact record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00153,Greater Accra: Independence and state visual identity — object or artefact record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00154,Greater Accra: Independence and state visual identity — object or artefact record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00155,Greater Accra: Independence and state visual identity — object or artefact record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00156,Greater Accra: Independence and state visual identity — maker or workshop authority record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00157,Greater Accra: Independence and state visual identity — maker or workshop authority record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00158,Greater Accra: Independence and state visual identity — maker or workshop authority record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00159,Greater Accra: Independence and state visual identity — maker or workshop authority record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00160,Greater Accra: Independence and state visual identity — maker or workshop authority record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00161,Greater Accra: Independence and state visual identity — institution or collection record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00162,Greater Accra: Independence and state visual identity — institution or collection record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00163,Greater Accra: Independence and state visual identity — institution or collection record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00164,Greater Accra: Independence and state visual identity — institution or collection record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00165,Greater Accra: Independence and state visual identity — institution or collection record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00166,Greater Accra: Independence and state visual identity — oral-history interview research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00167,Greater Accra: Independence and state visual identity — oral-history interview research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00168,Greater Accra: Independence and state visual identity — oral-history interview research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00169,Greater Accra: Independence and state visual identity — oral-history interview research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00170,Greater Accra: Independence and state visual identity — oral-history interview research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00171,Greater Accra: Independence and state visual identity — publication or archival source research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00172,Greater Accra: Independence and state visual identity — publication or archival source research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00173,Greater Accra: Independence and state visual identity — publication or archival source research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00174,Greater Accra: Independence and state visual identity — publication or archival source research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00175,Greater Accra: Independence and state visual identity — publication or archival source research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00176,Greater Accra: Popular and everyday graphics — object or artefact record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00177,Greater Accra: Popular and everyday graphics — object or artefact record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00178,Greater Accra: Popular and everyday graphics — object or artefact record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00179,Greater Accra: Popular and everyday graphics — object or artefact record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00180,Greater Accra: Popular and everyday graphics — object or artefact record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00181,Greater Accra: Popular and everyday graphics — maker or workshop authority record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00182,Greater Accra: Popular and everyday graphics — maker or workshop authority record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00183,Greater Accra: Popular and everyday graphics — maker or workshop authority record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00184,Greater Accra: Popular and everyday graphics — maker or workshop authority record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00185,Greater Accra: Popular and everyday graphics — maker or workshop authority record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00186,Greater Accra: Popular and everyday graphics — institution or collection record research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00187,Greater Accra: Popular and everyday graphics — institution or collection record research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00188,Greater Accra: Popular and everyday graphics — institution or collection record research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00189,Greater Accra: Popular and everyday graphics — institution or collection record research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00190,Greater Accra: Popular and everyday graphics — institution or collection record research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00191,Greater Accra: Popular and everyday graphics — oral-history interview research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00192,Greater Accra: Popular and everyday graphics — oral-history interview research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00193,Greater Accra: Popular and everyday graphics — oral-history interview research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00194,Greater Accra: Popular and everyday graphics — oral-history interview research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00195,Greater Accra: Popular and everyday graphics — oral-history interview research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00196,Greater Accra: Popular and everyday graphics — publication or archival source research target 1,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00197,Greater Accra: Popular and everyday graphics — publication or archival source research target 2,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00198,Greater Accra: Popular and everyday graphics — publication or archival source research target 3,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00199,Greater Accra: Popular and everyday graphics — publication or archival source research target 4,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00200,Greater Accra: Popular and everyday graphics — publication or archival source research target 5,publication_state,"publication_state contains ""research target""",research target; no object claim,publication or archival source
ARED-GH-00201,"Greater Accra: Digital, diasporic and contemporary design — object or artefact record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00202,"Greater Accra: Digital, diasporic and contemporary design — object or artefact record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00203,"Greater Accra: Digital, diasporic and contemporary design — object or artefact record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00204,"Greater Accra: Digital, diasporic and contemporary design — object or artefact record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00205,"Greater Accra: Digital, diasporic and contemporary design — object or artefact record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,object or artefact record
ARED-GH-00206,"Greater Accra: Digital, diasporic and contemporary design — maker or workshop authority record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00207,"Greater Accra: Digital, diasporic and contemporary design — maker or workshop authority record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00208,"Greater Accra: Digital, diasporic and contemporary design — maker or workshop authority record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00209,"Greater Accra: Digital, diasporic and contemporary design — maker or workshop authority record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00210,"Greater Accra: Digital, diasporic and contemporary design — maker or workshop authority record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,maker or workshop authority record
ARED-GH-00211,"Greater Accra: Digital, diasporic and contemporary design — institution or collection record research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00212,"Greater Accra: Digital, diasporic and contemporary design — institution or collection record research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00213,"Greater Accra: Digital, diasporic and contemporary design — institution or collection record research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00214,"Greater Accra: Digital, diasporic and contemporary design — institution or collection record research target 4",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00215,"Greater Accra: Digital, diasporic and contemporary design — institution or collection record research target 5",publication_state,"publication_state contains ""research target""",research target; no object claim,institution or collection record
ARED-GH-00216,"Greater Accra: Digital, diasporic and contemporary design — oral-history interview research target 1",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00217,"Greater Accra: Digital, diasporic and contemporary design — oral-history interview research target 2",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
ARED-GH-00218,"Greater Accra: Digital, diasporic and contemporary design — oral-history interview research target 3",publication_state,"publication_state contains ""research target""",research target; no object claim,oral-history interview
