record_id,title,alternate_title,record_type,period_id,period_label,visual_system_id,visual_system_label,date_display,date_start,date_end,date_certainty,region,locality,community_or_culture,creator_or_authority,creator_role,creator_certainty,commissioner,workshop_or_printer,institution_or_collection,collection_number,object_type,medium,technique,dimensions,language,source_facts,ared_interpretation,historical_significance,cultural_interpretation,provenance,acquisition_history,primary_source_name,primary_source_url,secondary_sources,bibliography,evidence_summary,access_date,rights_status,image_rights_status,community_authority_status,verification_status,uncertainties,related_record_ids,tags,build_id
ARED-GH-HIST-00011,Fante Asafo company flags (frankaa),,documented practice,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V2,"Memory, proverb and performance",19th century–present,1800,2026,historical dating,Ghana,Central Region; Cape Coast; Anomabo,Fante; coastal Ghana,,,documented in cited sources,,,,,appliqué flag,cotton cloth; appliqué; stitch,,,,"Asafo flags belong to Fante military companies (asafo) along Ghana's coast. Flags combine figurative appliqué, proverb and company identity. Collections at the Fowler Museum, Brooklyn Museum and Ghanaian community archives document their role in public performance and rivalry.","Asafo flags are a major Ghanaian graphic genre: designed cloth banners for collective identity, satire and historical narrative.",,,,,Fowler Museum — Asafo flags collection,https://fowler.ucla.edu/collections/asafo-flags/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,asafo; flag; Fante; appliqué; proverb,2026-07-05-taxonomy-v1
ARED-GH-HIST-00012,Ga mfrankaa (posuban shrine banners),,documented practice,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V2,"Memory, proverb and performance",19th–20th century,1800,2000,historical dating,Ghana,Accra; Teshie; Labadi,Ga peoples,,,documented in cited sources,,,,,shrine banner,cloth; paint; appliqué,,,,Ga posuban (military/shrine posts) and associated banners (mfrankaa) combine figurative painting and cloth in urban Accra neighbourhoods. Ethnographic and community documentation describe them as public religious and historical graphics.,Ga shrine banners share coastal Ghana's tradition of designed cloth as public narrative — parallel to Asafo but within Ga religious urbanism.,,,,,Ghana Museums and Monuments Board,https://gmmb.gov.gh/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,Ga; posuban; mfrankaa; Accra; shrine,2026-07-05-taxonomy-v1
ARED-GH-HIST-00013,Ewe kente and woven identity,,documented practice,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V3,"Cloth, pattern and social identity",19th–20th century,1800,2026,historical dating,Ghana,Volta Region; Agbozume,Ewe peoples,,,documented in cited sources,,,,,textile weaving,cotton; rayon; strip weave,,,,Ewe kente traditions are documented in Volta Region weaving centres such as Agbozume. Museum textile records attribute wrappers and prestige cloths to Ewe makers with distinct pattern repertoires from Asante kente.,Ewe weaving expands Ghana's graphic history beyond a single 'kente' narrative — multiple designed cloth systems coexist.,,,,,Metropolitan Museum — Ewe wrapper records,https://www.metmuseum.org/art/collection/search?q=ewe+ghana+textile,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Ewe; kente; Volta; textile,2026-07-05-taxonomy-v1
ARED-GH-HIST-00014,Basel Mission press and early vernacular printing,,institution,P3,"Colonial print and institutional design, 1874–1945",V4,"Print, colonial rule and public culture",19th century,1828,1918,historical dating,Ghana,Akropong; Osu,,,,documented in cited sources,,,Basel Mission,,mission printing,letterpress; religious tract; schoolbook,,,,"The Basel Mission established printing and literacy work on the Gold Coast from the 19th century, producing religious and educational materials in local and European languages. Mission archives and Ghanaian church histories document early typographic and illustrated book production.",Mission printing introduced European typographic layout into Ghana while also supporting local language literacy — a foundational colonial-era graphic infrastructure.,,,,,Basel Mission Archive (overview),https://www.bmarchives.org/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,Basel Mission; print; mission; Akropong,2026-07-05-taxonomy-v1
ARED-GH-HIST-00015,Gold Coast Government Printing Department,,institution,P3,"Colonial print and institutional design, 1874–1945",V4,"Print, colonial rule and public culture",colonial era,1874,1957,historical dating,Ghana,Accra,,,,documented in cited sources,,,Gold Coast colonial administration,,government printing,official gazette; form; poster,,,,"Colonial Gold Coast administration relied on government printing for gazettes, legislation, tax forms, public notices and educational materials. National archives and library finding aids reference Government Printer publications as core bureaucratic graphic formats.","State paperwork is a designed genre: layout, seal and typography communicated imperial authority long before independence branding.",,,,,Public Records and Archives Administration Department (PRAAD) Ghana,https://praad.gov.gh/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,government print; colonial; gazette; Accra,2026-07-05-taxonomy-v1
ARED-GH-HIST-00016,Gold Coast Gazette and early newspapers,,publication genre,P3,"Colonial print and institutional design, 1874–1945",V4,"Print, colonial rule and public culture",19th–20th century,1850,1957,historical dating,Ghana,,,,,documented in cited sources,,,,,newspaper,letterpress newsprint,,,,"Gold Coast newspapers including official gazettes and commercial papers created recurring masthead, headline and advertisement layouts. Library and newspaper archive holdings document the emergence of a local press culture before independence.","Newspaper design trained readers in daily graphic formats — news hierarchy, advertising blocks and political cartoons.",,,,,British Library Newspapers — Africa,https://www.bl.uk/collection-guides/newspapers,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,newspaper; Gold Coast; press; gazette,2026-07-05-taxonomy-v1
ARED-GH-HIST-00017,Railway and colonial commercial advertising,,documented practice,P3,"Colonial print and institutional design, 1874–1945",V6,Popular and everyday graphics,early–mid 20th century,1900,1960,historical dating,Ghana,,,,,documented in cited sources,,,,,advertising poster, lithograph; offset print,,,,"Gold Coast railway expansion and consumer imports produced illustrated timetables, travel posters and product advertisements aimed at urban and coastal audiences. Archive ephemera and museum collections preserve examples of early commercial graphics.",Colonial advertising introduced illustrated persuasion — a bridge to post-war Accra studio photography and calendar advertising.,,,,,Ghana Railway history — academic and archive sources,https://praad.gov.gh/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,railway; advertising; colonial; poster,2026-07-05-taxonomy-v1
ARED-GH-HIST-00018,Imported wax-print cloth (Dutch block and roller print),,documented practice,P3,"Colonial print and institutional design, 1874–1945",V3,"Cloth, pattern and social identity",late 19th–20th century,1890,2026,historical dating,Ghana,,,,,documented in cited sources,,,,,printed textile,cotton wax print,,,,"Factory-printed wax cloth from European firms (including Vlisco and related suppliers) became central to West African dress and naming cultures. Ghanaian markets renamed patterns; ATL, GTP and other firms later produced region-specific designs documented in textile industry histories.","Wax print is a designed medium shaped by Ghanaian consumers — pattern names, social meaning and fashion cycles constitute a popular graphic economy.",,,,,Vlisco company history,https://www.vlisco.com/about-us/history/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,wax print; textile; Vlisco; GTP; fashion,2026-07-05-taxonomy-v1
ARED-GH-HIST-00019,National flag of Ghana,,state symbol,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,adopted 1957,1957,2026,historical dating,Ghana,Accra,,Theodosia Okoh (widely credited designer),designer,documented in cited sources,,,,,flag,textile; horizontal tricolour,,,,"Ghana's flag — red, gold and green horizontal stripes with a black star — was adopted at independence in 1957. Ghanaian and international sources credit artist Theodosia Okoh with the design. The black star references Marcus Garvey's Black Star Line and Ghana's leadership in African independence.","The flag is Ghana's foundational republic graphic: colour symbolism and star motif reused across stamps, coins, sports kits and diaspora identity design.",Primary national symbol of the first sub-Saharan African colony to achieve independence.,,,,Government of Ghana — national symbols,https://www.ghana.gov.gh/about-ghana/national-symbols/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,flag; independence; Theodosia Okoh; national symbol,2026-07-05-taxonomy-v1
ARED-GH-HIST-00020,Coat of arms of Ghana,,state symbol,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,adopted 4 March 1957,1957,2026,historical dating,Ghana,,,"Nii Amon Kotei (lead artist, documented)",designer,documented in cited sources,,,,,heraldic emblem,illustration; official seal,,,,"Ghana's coat of arms was adopted on 4 March 1957, featuring a shield with cross, castle, cocoa tree and mine, supported by eagles and bearing the motto FREEDOM AND JUSTICE. Artist Nii Amon Kotei is widely documented as principal designer among a committee of artists.","The coat of arms codified resource and history imagery into a single official pictogram used on documents, currency and state architecture.",,,,,Government of Ghana — national symbols,https://www.ghana.gov.gh/about-ghana/national-symbols/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,coat of arms; Nii Amon Kotei; heraldry; independence,2026-07-05-taxonomy-v1
ARED-GH-HIST-00021,Kwame Nkrumah — political portraiture and campaign graphics,,person,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,1940s–1966,1947,1966,historical dating,Ghana,,,Kwame Nkrumah,political leader / subject of visual culture,documented in cited sources,,,,,political portrait; poster,photography; print; banner,,,,"Kwame Nkrumah, first Prime Minister and President of Ghana, was one of the most reproduced political figures in West African visual culture. Photographs, posters, stamps and public monuments circulated his image during CPP campaigns and independence celebrations.","Nkrumah's visual presence exemplifies designed political charisma — portrait, gesture and colour deployed for mass mobilisation.",,,,,Kwame Nkrumah — Encyclopaedia Britannica,https://www.britannica.com/biography/Kwame-Nkrumah,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Nkrumah; politics; portrait; CPP,2026-07-05-taxonomy-v1
ARED-GH-HIST-00022,Convention People's Party (CPP) campaign materials,,documented practice,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,1950s,1949,1966,historical dating,Ghana,,,,,documented in cited sources,,,Convention People's Party,,political ephemera,poster; leaflet; badge,,,,"The CPP used printed ephemera, photographs and public spectacle in the Positive Action era and 1951/1956 elections leading to independence. Political history archives and museum collections hold campaign badges, cloth and printed slogans.",CPP graphics linked anti-colonial rhetoric to repeatable visual motifs — a template for later Ghanaian party political design.,,,,,Ghana independence historical accounts,https://www.ghana.gov.gh/about-ghana/history/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,CPP; campaign; politics; independence,2026-07-05-taxonomy-v1
ARED-GH-HIST-00023,Ghana Post independence stamp issues,,publication series,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,from 1957,1957,2026,historical dating,Ghana,,,,,documented in cited sources,,,Ghana Post,,postage stamp,engraving; offset miniature design,,,,"Ghana's postal authority issued stamps from independence onward depicting leaders, industry, culture and events. Stamp catalogues and philatelic archives document Ghana as an early post-colonial issuer of national commemorative miniature graphics.",Stamps functioned as everyday state publishing — small designed surfaces reaching households and international post.,,,,,Stanley Gibbons / Colnect Ghana stamps catalogue,https://www.colnect.com/en/stamps/list/country/82-Ghana,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,stamp; Ghana Post; philately; state design,2026-07-05-taxonomy-v1
ARED-GH-HIST-00024,Theodosia Okoh,,person,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,1922–2015,1922,2015,historical dating,Ghana,,,Theodosia Okoh,artist; teacher; flag designer,documented in cited sources,,,,,biographical authority,,,,,Theodosia Okoh (1922–2015) was a Ghanaian artist and teacher widely credited with designing Ghana's national flag in 1957. Ghanaian government and cultural obituaries document her role in national symbol design and sports administration.,Okoh anchors Ghana's design history in named female authorship of the republic's most visible graphic.,,,,,Theodosia Okoh — Wikipedia (cross-check with Ghana gov sources),https://en.wikipedia.org/wiki/Theodosia_Okoh,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Theodosia Okoh; designer; flag; person,2026-07-05-taxonomy-v1
ARED-GH-HIST-00025,Nii Amon Kotei,,person,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,1915–2011,1915,2011,historical dating,Ghana,,,Nii Amon Kotei,artist; heraldic designer,documented in cited sources,,,,,person,,,,,Nii Amon Kotei (1915–2011) was a Ghanaian artist documented as lead designer of the national coat of arms in 1957. State honours and obituaries in Ghanaian press record his contribution to independence-era official imagery.,Kotei's work shows how fine artists were recruited to build bureaucratic visual identity at independence.,,,,,Ghana national symbols documentation,https://www.ghana.gov.gh/about-ghana/national-symbols/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Nii Amon Kotei; coat of arms; artist; person,2026-07-05-taxonomy-v1
ARED-GH-HIST-00026,James Barnor — Ever Young studio and street photography,,person,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1950s–1970s (Ghana period); active to present,1929,2026,historical dating,Ghana,Accra; London,,James Barnor,photographer,documented in cited sources,,,,,photography studio,film photography; studio portrait; press,,,,"James Barnor (born 1929) opened the Ever Young studio in Accra and worked for Drum magazine and commercial clients including Agip calendar campaigns. Retrospectives by Autograph, Galerie Clémentine de la Féronnière and museum acquisitions document his role in Ghanaian and diasporic popular photography.","Barnor's studio portraits and advertising work are core Ghanaian graphic history — fashion, pose and backdrop as designed self-presentation.",,,,,Autograph — James Barnor,https://autograph.org.uk/exhibitions/james-barnor,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,James Barnor; photography; Ever Young; Accra,2026-07-05-taxonomy-v1
ARED-GH-HIST-00027,Drum magazine West Africa — Ghana coverage,,publication,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1950s–1970s,1951,1980,historical dating,Ghana,,,,,documented in cited sources,,,,,magazine,photography; offset magazine layout,,,,"Drum magazine covered fashion, politics and urban culture across West and East Africa with strong Ghanaian photographic content. Layout, headline design and photo essays shaped regional popular modernity documented in media histories.",Drum is a transnational graphic platform where Ghanaian photographers and subjects entered pan-African visual culture.,,,,,Drum magazine historical overview,https://www.britannica.com/topic/Drum-magazine,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,Drum; magazine; photography; popular press,2026-07-05-taxonomy-v1
ARED-GH-HIST-00028,Daily Graphic newspaper,,publication,P4,"Anticolonial and independence visual culture, 1945–1966",V4,"Print, colonial rule and public culture",founded 1950,1950,2026,historical dating,Ghana,Accra,,,,documented in cited sources,,,Graphic Communications Group Ltd,,daily newspaper,newsprint; phototypeset; digital (later),,,,"The Daily Graphic, founded in 1950, is one of Ghana's longest-running daily newspapers. Its masthead, photo layout and advertising columns constitute a daily designed interface of national news.",Daily Graphic represents the institutionalisation of Ghanaian news design after independence.,,,,,Graphic Online — About,https://www.graphic.com.gh/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Daily Graphic; newspaper; Accra; press,2026-07-05-taxonomy-v1
ARED-GH-HIST-00029,Ghanaian Times newspaper,,publication,P4,"Anticolonial and independence visual culture, 1945–1966",V4,"Print, colonial rule and public culture",founded 1957,1957,2026,historical dating,Ghana,,,,,documented in cited sources,,,New Times Corporation,,daily newspaper,newsprint,,,,The Ghanaian Times was established in 1957 as a state-linked daily paper in the independence era. It forms part of Ghana's mid-century public print landscape alongside the Daily Graphic.,Competing mastheads and photo layouts shaped Ghanaian readers' visual habits in the early republic.,,,,,Ghanaian Times,https://www.ghanaiantimes.com.gh/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,Ghanaian Times; newspaper; state media,2026-07-05-taxonomy-v1
ARED-GH-HIST-00030,Hand-painted cinema and concert posters (Accra),,documented practice,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1970s–1990s,1970,1995,historical dating,Ghana,Accra; Kumasi,,,,documented in cited sources,,,,,hand-painted poster,oil paint on flour sack / board,,,,"Hand-painted film and music posters flourished in Ghanaian cities, especially for mobile cinema and concert promotion. Scholarly articles and collector documentation describe bold figurative painting styles associated with artists such as Leonardo da Vinci Opoku and regional sign-painting traditions.","Ghanaian cinema posters are an internationally recognised popular graphic genre — painterly, serial and locally authored.",,,,,Karun Thakar collection / academic studies of Ghanaian film posters,https://www.karunthakar.com/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,individual artist attributions vary by poster; dating often approximate,,cinema poster; hand-painted; Accra; popular art,2026-07-05-taxonomy-v1
ARED-GH-HIST-00031,Highlife record sleeve and music graphics,,documented practice,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1950s–1980s,1950,1990,historical dating,Ghana,,,,,documented in cited sources,,,,,record sleeve,vinyl LP sleeve; photography; typography,,,,"Highlife and later Afro-pop releases on labels such as Philips, Decca and local presses used photography, lettering and colour blocking on sleeves. Discography archives and collector communities document Ghana as a major West African music packaging market.","Record sleeves carried performer image, dance fashion and studio typography into households — parallel to Barnor's studio work.",,,,,Discogs — Ghanaian releases,https://www.discogs.com/search/?country=Ghana,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,highlife; music; record sleeve; vinyl,2026-07-05-taxonomy-v1
ARED-GH-HIST-00032,Kane Kwei — figurative coffin workshop (popular sculpture as design),,person,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1950s–1990s,1922,1992,historical dating,Ghana,Teshie; Accra,,Kane Kwei (Seth Kane Kwei workshop tradition),sculptor; workshop founder,documented in cited sources,,,,,figurative coffin,wood; paint,,,,"Kane Kwei pioneered Ga figurative coffins shaped like objects reflecting the deceased's profession or status. Documented by scholars and museums worldwide, the Teshie workshop tradition is a major Ghanaian popular design export.","Fantasy coffins are designed objects at life scale — humour, profession and status rendered as public funeral graphics.",,,,,Centre Pompidou / museum documentation of Kane Kwei coffins,https://www.centrepompidou.fr/en/ressources/oeuvre/cOR7n88,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,Kane Kwei; Ga; coffin; Teshie; popular art,2026-07-05-taxonomy-v1
